"lemma","part_of_speech","dle_lemma","dle_url","is_model_verb","model_verbs"
"económico","adjetivo","económico","https://dle.rae.es/econ%C3%B3mico#ELZnO7D","",""
"investigación","sustantivo","investigación","https://dle.rae.es/investigaci%C3%B3n#M3YxV5t","",""
"tema","sustantivo","tema","https://dle.rae.es/tema#ZOke7eQ","",""
"lograr","verbo","lograr","https://dle.rae.es/lograr#NZjcj2x","0",""
"actividad","sustantivo","actividad","https://dle.rae.es/actividad#0chgoNb","",""
"zona","sustantivo","zona","https://dle.rae.es/zona#cShBTuB","",""
"ejemplo","sustantivo","ejemplo","https://dle.rae.es/ejemplo#ESQnNsE","",""
"luego","adverbio","luego","https://dle.rae.es/luego#Ng77N8B","",""
"desarrollo","sustantivo","desarrollo","https://dle.rae.es/desarrollo#CTzcOCM","",""
"ganar","verbo","ganar","https://dle.rae.es/ganar#Iq1PHKv","0",""
"información","sustantivo","información","https://dle.rae.es/informaci%C3%B3n#LXrOqrN","",""
"te","pronombre personal","te","https://dle.rae.es/te#ZHbtI24","",""
"volver","verbo","volver","https://dle.rae.es/volver#c33Avl1","0","mover"
"mostrar","verbo","mostrar","https://dle.rae.es/mostrar#PvGuUuK","0","contar"
"pensar","verbo","pensar","https://dle.rae.es/pensar#STY14i0","0","acertar"
"casi","adverbio","casi","https://dle.rae.es/casi#7oZxIaa","",""
"político","sustantivo","político","https://dle.rae.es/pol%C3%ADtico#Ta2HMYR","",""
"cuenta","sustantivo","cuenta","https://dle.rae.es/cuenta#BaAYElz","",""
"poco","cuantificador","poco","https://dle.rae.es/poco#TTT0e1l","",""
"derecho","sustantivo","derecho","https://dle.rae.es/derecho#CGv2o6x","",""
"gente","sustantivo","gente","https://dle.rae.es/gente#J63pTV1","",""
"principal","adjetivo","principal","https://dle.rae.es/principal#UBnRzW7","",""
"ley","sustantivo","ley","https://dle.rae.es/ley#NDJCjq8","",""
"aquel","demonstrativo","aquel","https://dle.rae.es/aquel#3M6wlMC","",""
"familia","sustantivo","familia","https://dle.rae.es/familia#HZnZiow","",""
"hecho","sustantivo","hecho","https://dle.rae.es/hecho#K4rxA9a","",""
"hijo","sustantivo","hijo","https://dle.rae.es/hijo#KOGiy39","",""
"tanto","adverbio","tanto","https://dle.rae.es/tanto#Z60aNMi","",""
"juego","sustantivo","juego","https://dle.rae.es/juego#MaS6XPk","",""
"producir","verbo","producir","https://dle.rae.es/producir#UH6ZGRL","0","conducir"
"humano","adjetivo","humano","https://dle.rae.es/humano#KncKsrP","",""
"sector","sustantivo","sector","https://dle.rae.es/sector#XPWJMeO","",""
"relación","sustantivo","relación","https://dle.rae.es/relaci%C3%B3n#VoYtQP9","",""
"libro","sustantivo","libro","https://dle.rae.es/libro#NG3ktc6","",""
"número","sustantivo","número","https://dle.rae.es/n%C3%BAmero#QiamBaG","",""
"fin","sustantivo","fin","https://dle.rae.es/fin#HxFMc9Z","",""
"venir","verbo","venir","https://dle.rae.es/venir#bXkUiz2","1",""
"posible","adjetivo","posible","https://dle.rae.es/posible#TnPFvOp","",""
"agua","sustantivo","agua","https://dle.rae.es/agua#1BKpQj3","",""
"final","sustantivo","final","https://dle.rae.es/final#HxHWWiv","",""
"solo","adverbio","solo","https://dle.rae.es/solo#YJBeprw","",""
"incluir","verbo","incluir","https://dle.rae.es/incluir#LFNhnwF","0","construir"
"entonces","adverbio","entonces","https://dle.rae.es/entonces#FivP8ug","",""
"comenzar","verbo","comenzar","https://dle.rae.es/comenzar#9vK3kMz","0","acertar"
"hacia","preposición","hacia","https://dle.rae.es/hacia#JxHUqK9","",""
"diferente","adjetivo","diferente","https://dle.rae.es/diferente#DjdC68Y","",""
"único","adjetivo","único","https://dle.rae.es/%C3%BAnico#b4z1aRM","",""
"aún","adverbio","aún","https://dle.rae.es/aun#4ObzbDY","",""
"mercado","sustantivo","mercado","https://dle.rae.es/mercado#OyRtG0r","",""
"mucho","adverbio","mucho","https://dle.rae.es/mucho#PytaXRE","",""
"jugar","verbo","jugar","https://dle.rae.es/jugar#MaeD6rF","1",""
"utilizar","verbo","utilizar","https://dle.rae.es/utilizar#bCiUayh","0",""
"ninguno","cuantificador","ninguno","https://dle.rae.es/ninguno#QVnWLXL","",""
